species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Campylobacter mucosalis	202	YES	7050	0	0	7050	0	0	0.0000
Campylobacter rectus	203	YES	12004	0	0	12004	0	0	0.0000
Campylobacter showae	204	YES	29688	0	0	29688	0	0	0.0000
Campylobacter sp.	205	YES	294068	0	0	294068	0	0	0.0000
Campylobacter sputorum	206	YES	8729	0	0	8729	0	0	0.0000
Helicobacter	209	YES	21824	0	0	21824	0	0	0.0000
Helicobacter pylori	210	YES	2020311	0	0	2020311	0	0	0.0000
Helicobacter sp. CLO-3	211	YES	342	0	0	342	0	0	0.0000
Helicobacter acinonychis	212	YES	3717	0	0	3717	0	0	0.0000
Helicobacter cinaedi	213	YES	19527	0	0	19527	0	0	0.0000
Helicobacter felis	214	YES	15558	0	0	15558	0	0	0.0000
Helicobacter fennelliae	215	YES	5301	0	0	5301	0	0	0.0000
Helicobacter muridarum	216	YES	2181	0	0	2181	0	0	0.0000
Helicobacter mustelae	217	YES	2223	0	0	2223	0	0	0.0000
Helicobacter sp.	218	YES	22046	0	0	22046	0	0	0.0000
Achromobacter	222	YES	142019	0	0	142019	0	0	0.0000
Alteromonas	226	YES	48472	0	0	48472	0	0	0.0000
Pseudoalteromonas carrageenovora	227	YES	14656	0	0	14656	0	0	0.0000
Pseudoalteromonas haloplanktis	228	YES	3244	0	0	3244	0	0	0.0000
Alteromonas sp.	232	YES	20940	0	0	20940	0	0	0.0000
Brucella	234	YES	49564	0	0	49564	0	0	0.0000
Brucella abortus	235	YES	14259	0	0	14259	0	0	0.0000
Brucella ovis	236	YES	1852	0	0	1852	0	0	0.0000
Flavobacterium	237	YES	134390	0	0	134390	0	0	0.0000
Elizabethkingia meningoseptica	238	YES	29151	0	0	29151	0	0	0.0000
Flavobacterium sp.	239	YES	549806	0	0	549806	0	0	0.0000
Planomicrobium okeanokoites	244	YES	12456	0	0	12456	0	0	0.0000
Flavobacterium aquatile	245	YES	3121	0	0	3121	0	0	0.0000
Chryseobacterium balustinum	246	YES	6128	0	0	6128	0	0	0.0000
Empedobacter brevis	247	YES	31981	0	0	31981	0	0	0.0000
Terrimonas ferruginea	249	YES	10631	0	0	10631	0	0	0.0000
Chryseobacterium gleum	250	YES	22492	0	0	22492	0	0	0.0000
Psychroflexus gondwanensis	251	YES	4857	0	0	4857	0	0	0.0000
Halomonas halmophila	252	YES	2615	0	0	2615	0	0	0.0000
Chryseobacterium indologenes	253	YES	35062	0	0	35062	0	0	0.0000
Chryseobacterium indoltheticum	254	YES	22376	0	0	22376	0	0	0.0000
Myroides odoratus	256	YES	25777	0	0	25777	0	0	0.0000
Sphingobacterium spiritivorum	258	YES	45998	0	0	45998	0	0	0.0000
Sphingobacterium thalpophilum	259	YES	20461	0	0	20461	0	0	0.0000
Francisella	262	YES	5463	0	0	5463	0	0	0.0000
Francisella tularensis	263	YES	37656	0	0	37656	0	0	0.0000
Paracoccus	265	YES	45756	0	0	45756	0	0	0.0000
Paracoccus denitrificans	266	YES	9916	0	0	9916	0	0	0.0000
Paracoccus sp. (in: a-proteobacteria)	267	YES	83880	0	0	83880	0	0	0.0000
Thermus	270	YES	18704	0	0	18704	0	0	0.0000
Thermus aquaticus	271	YES	6110	0	0	6110	0	0	0.0000
Thermus thermophilus	274	YES	33433	0	0	33433	0	0	0.0000
Thermus sp.	275	YES	28369	0	0	28369	0	0	0.0000
Thermus filiformis	276	YES	2307	0	0	2307	0	0	0.0000
Meiothermus ruber	277	YES	6989	0	0	6989	0	0	0.0000
Xanthobacter	279	YES	17160	0	0	17160	0	0	0.0000
Xanthobacter autotrophicus	280	YES	36441	0	0	36441	0	0	0.0000
Xanthobacter flavus	281	YES	27057	0	0	27057	0	0	0.0000
Comamonas	283	YES	64695	0	0	64695	0	0	0.0000
Comamonas testosteroni	285	YES	47368	0	0	47368	0	0	0.0000
Pseudomonas	286	YES	2381789	0	0	2381789	0	0	0.0000
Pseudomonas aeruginosa	287	YES	2051860	0	0	2051860	0	0	0.0000
Pseudoalteromonas atlantica	288	YES	15188	0	0	15188	0	0	0.0000
Afipia carboxydohydrogena	290	YES	3047	0	0	3047	0	0	0.0000
Burkholderia cepacia	292	YES	405917	0	0	405917	0	0	0.0000
Brevundimonas diminuta	293	YES	53218	0	0	53218	0	0	0.0000
Pseudomonas fluorescens	294	YES	390786	0	0	390786	0	0	0.0000
Pseudomonas fragi	296	YES	54446	0	0	54446	0	0	0.0000
Hydrogenophilus thermoluteolus	297	YES	4058	0	0	4058	0	0	0.0000
Pseudomonas marginalis	298	YES	29801	0	0	29801	0	0	0.0000
Ectopseudomonas mendocina	300	YES	40195	0	0	40195	0	0	0.0000
Ectopseudomonas oleovorans	301	YES	40642	0	0	40642	0	0	0.0000
Pseudomonas putida	303	YES	343334	0	0	343334	0	0	0.0000
Roseateles saccharophilus	304	YES	11312	0	0	11312	0	0	0.0000
Ralstonia solanacearum	305	YES	93402	0	0	93402	0	0	0.0000
Pseudomonas sp.	306	YES	426854	0	0	426854	0	0	0.0000
Stutzerimonas stutzeri	316	YES	226461	0	0	226461	0	0	0.0000
Pseudomonas syringae	317	YES	455390	0	0	455390	0	0	0.0000
Ralstonia pickettii	329	YES	21548	0	0	21548	0	0	0.0000
Burkholderia glumae	337	YES	39256	0	0	39256	0	0	0.0000
Xanthomonas	338	YES	176402	0	0	176402	0	0	0.0000
Xanthomonas campestris	339	YES	197637	0	0	197637	0	0	0.0000
Xanthomonas translucens	343	YES	44265	0	0	44265	0	0	0.0000
Xanthomonas citri	346	YES	81061	0	0	81061	0	0	0.0000
Xanthomonas oryzae	347	YES	124599	0	0	124599	0	0	0.0000
Zoogloea	349	YES	2595	0	0	2595	0	0	0.0000
Zoogloea ramigera	350	YES	6209	0	0	6209	0	0	0.0000
Azotobacter group	351	YES	127	0	0	127	0	0	0.0000
Azotobacter	352	YES	4853	0	0	4853	0	0	0.0000
Azotobacter chroococcum	353	YES	33301	0	0	33301	0	0	0.0000
Azotobacter vinelandii	354	YES	6291	0	0	6291	0	0	0.0000
Hyphomicrobiales	356	YES	20870	0	0	20870	0	0	0.0000
Agrobacterium	357	YES	102279	0	0	102279	0	0	0.0000
Agrobacterium tumefaciens	358	YES	163120	0	0	163120	0	0	0.0000
Martinezella rhizogenes	359	YES	82982	0	0	82982	0	0	0.0000
Agrobacterium sp.	361	YES	13843	0	0	13843	0	0	0.0000
Agrobacterium radiobacter	362	YES	12831	0	0	12831	0	0	0.0000
Gillisella vitis	373	YES	94136	0	0	94136	0	0	0.0000
Bradyrhizobium	374	YES	436629	0	0	436629	0	0	0.0000
Bradyrhizobium japonicum	375	YES	93991	0	0	93991	0	0	0.0000
Bradyrhizobium sp.	376	YES	353606	0	0	353606	0	0	0.0000
Rhizobium	379	YES	325671	0	0	325671	0	0	0.0000
Sinorhizobium fredii	380	YES	57819	0	0	57819	0	0	0.0000
Mesorhizobium loti	381	YES	17388	0	0	17388	0	0	0.0000
Sinorhizobium meliloti	382	YES	224873	0	0	224873	0	0	0.0000
Rhizobium leguminosarum	384	YES	623747	0	0	623747	0	0	0.0000
Rhizobium sp.	391	YES	32945	0	0	32945	0	0	0.0000
Rhizobium phaseoli	396	YES	46854	0	0	46854	0	0	0.0000
Martinezella tropici	398	YES	9068	0	0	9068	0	0	0.0000
Neorhizobium galegae	399	YES	71318	0	0	71318	0	0	0.0000
Methylococcaceae	403	YES	110	0	0	110	0	0	0.0000
Methylobacillus	404	YES	1797	0	0	1797	0	0	0.0000
Methylobacillus flagellatus	405	YES	5871	0	0	5871	0	0	0.0000
Methylobacillus glycogenes	406	YES	3760	0	0	3760	0	0	0.0000
Methylobacterium	407	YES	101847	0	0	101847	0	0	0.0000
Methylorubrum extorquens	408	YES	62049	0	0	62049	0	0	0.0000
Methylobacterium sp.	409	YES	33944	0	0	33944	0	0	0.0000
Methylobacterium organophilum	410	YES	7778	0	0	7778	0	0	0.0000
Methylococcus	413	YES	5251	0	0	5251	0	0	0.0000
Methylococcus capsulatus	414	YES	8620	0	0	8620	0	0	0.0000
Methylobacter luteus	415	YES	4080	0	0	4080	0	0	0.0000
Methylomonas	416	YES	16048	0	0	16048	0	0	0.0000
Methylomonas sp.	418	YES	4695	0	0	4695	0	0	0.0000
Methylomonas methanica	421	YES	12735	0	0	12735	0	0	0.0000
Methylosinus	425	YES	9750	0	0	9750	0	0	0.0000
Methylosinus trichosporium	426	YES	603	0	0	603	0	0	0.0000
Methylosinus sp.	427	YES	3580	0	0	3580	0	0	0.0000
Methylosinus sporium	428	YES	18224	0	0	18224	0	0	0.0000
Methylobacter	429	YES	7154	0	0	7154	0	0	0.0000
Acetobacteraceae	433	YES	8442	0	0	8442	0	0	0.0000
Acetobacter	434	YES	30750	0	0	30750	0	0	0.0000
Acetobacter aceti	435	YES	9070	0	0	9070	0	0	0.0000
Novacetimonas hansenii	436	YES	15760	0	0	15760	0	0	0.0000
Acidomonas methanolica	437	YES	7873	0	0	7873	0	0	0.0000
Acetobacter pasteurianus	438	YES	23513	0	0	23513	0	0	0.0000
Acetobacter sp.	440	YES	26268	0	0	26268	0	0	0.0000
Gluconobacter	441	YES	23585	0	0	23585	0	0	0.0000
Gluconobacter oxydans	442	YES	34877	0	0	34877	0	0	0.0000
Legionellaceae	444	YES	1534	0	0	1534	0	0	0.0000
Legionella	445	YES	21225	0	0	21225	0	0	0.0000
Legionella pneumophila	446	YES	103319	0	0	103319	0	0	0.0000
