species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Beihai permutotetra-like virus 2	1922513	YES	2	0	0	0	2	0	0.0000
Beihai picobirna-like virus 7	1922524	YES	2	0	0	0	2	0	0.0000
Beihai picobirna-like virus 8	1922525	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 1	1922527	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 100	1922528	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 101	1922529	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 102	1922530	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 103	1922531	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 104	1922532	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 105	1922533	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 106	1922534	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 107	1922535	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 108	1922536	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 11	1922538	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 110	1922539	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 111	1922540	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 112	1922541	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 113	1922542	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 114	1922543	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 115	1922544	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 116	1922545	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 117	1922546	YES	3	0	0	0	3	0	0.0000
Beihai picorna-like virus 118	1922547	YES	3	0	0	0	3	0	0.0000
Beihai picorna-like virus 119	1922548	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 120	1922549	YES	4	0	0	0	4	0	0.0000
Beihai picorna-like virus 121	1922550	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 122	1922551	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 123	1922552	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 124	1922553	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 125	1922554	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 14	1922556	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 15	1922557	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 16	1922558	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 17	1922559	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 18	1922560	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 19	1922561	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 2	1922562	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 20	1922563	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 21	1922564	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 23	1922566	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 24	1922567	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 26	1922569	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 27	1922570	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 28	1922571	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 30	1922573	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 32	1922575	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 33	1922576	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 35	1922578	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 39	1922582	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 4	1922583	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 40	1922584	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 41	1922585	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 42	1922586	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 43	1922587	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 44	1922588	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 45	1922589	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 46	1922590	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 47	1922591	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 48	1922592	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 49	1922593	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 5	1922594	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 50	1922595	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 51	1922596	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 52	1922597	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 53	1922598	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 54	1922599	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 55	1922600	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 56	1922601	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 57	1922602	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 58	1922603	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 59	1922604	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 6	1922605	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 60	1922606	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 61	1922607	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 62	1922608	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 63	1922609	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 64	1922610	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 65	1922611	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 66	1922612	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 67	1922613	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 68	1922614	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 69	1922615	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 7	1922616	YES	3	0	0	0	3	0	0.0000
Beihai picorna-like virus 70	1922617	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 71	1922618	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 72	1922619	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 73	1922620	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 74	1922621	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 75	1922622	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 77	1922624	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 79	1922626	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 8	1922627	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 80	1922628	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 81	1922629	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 82	1922630	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 83	1922631	YES	3	0	0	0	3	0	0.0000
Beihai picorna-like virus 84	1922632	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 85	1922633	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 87	1922634	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 9	1922636	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 90	1922637	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 91	1922638	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 93	1922639	YES	2	0	0	0	2	0	0.0000
Beihai picorna-like virus 96	1922641	YES	1	0	0	0	1	0	0.0000
Beihai picorna-like virus 99	1922644	YES	1	0	0	0	1	0	0.0000
Beihai razor shell virus 1	1922645	YES	2	0	0	0	2	0	0.0000
Beihai razor shell virus 2	1922646	YES	2	0	0	0	2	0	0.0000
Beihai razor shell virus 3	1922647	YES	2	0	0	0	2	0	0.0000
Beihai razor shell virus 4	1922648	YES	1	0	0	0	1	0	0.0000
Beihai rhabdo-like virus 1	1922651	YES	3	0	0	0	3	0	0.0000
Beihai rhabdo-like virus 2	1922652	YES	4	0	0	0	4	0	0.0000
Beihai rhabdo-like virus 3	1922653	YES	5	0	0	0	5	0	0.0000
Beihai rhabdo-like virus 4	1922654	YES	3	0	0	0	3	0	0.0000
Beihai rhabdo-like virus 5	1922655	YES	4	0	0	0	4	0	0.0000
Beihai rhabdo-like virus 6	1922656	YES	4	0	0	0	4	0	0.0000
Beihai sea slater virus 1	1922657	YES	1	0	0	0	1	0	0.0000
Beihai sea slater virus 2	1922658	YES	2	0	0	0	2	0	0.0000
Beihai sea slater virus 3	1922659	YES	3	0	0	0	3	0	0.0000
Beihai sea slater virus 4	1922660	YES	8	0	0	0	8	0	0.0000
Beihai sesarmid crab virus 1	1922661	YES	2	0	0	0	2	0	0.0000
Beihai sesarmid crab virus 2	1922662	YES	1	0	0	0	1	0	0.0000
Beihai sesarmid crab virus 3	1922663	YES	2	0	0	0	2	0	0.0000
Beihai sesarmid crab virus 4	1922664	YES	2	0	0	0	2	0	0.0000
Beihai sesarmid crab virus 7	1922666	YES	1	0	0	0	1	0	0.0000
Beihai shrimp virus 1	1922667	YES	2	0	0	0	2	0	0.0000
Beihai shrimp virus 2	1922668	YES	2	0	0	0	2	0	0.0000
Beihai shrimp virus 3	1922669	YES	4	0	0	0	4	0	0.0000
Beihai shrimp virus 4	1922670	YES	2	0	0	0	2	0	0.0000
Beihai shrimp virus 5	1922671	YES	3	0	0	0	3	0	0.0000
Beihai shrimp virus 6	1922672	YES	3	0	0	0	3	0	0.0000
Beihai sipunculid worm virus 1	1922673	YES	2	0	0	0	2	0	0.0000
Beihai sipunculid worm virus 2	1922674	YES	2	0	0	0	2	0	0.0000
Beihai sipunculid worm virus 3	1922675	YES	2	0	0	0	2	0	0.0000
Beihai sipunculid worm virus 4	1922676	YES	2	0	0	0	2	0	0.0000
Beihai sipunculid worm virus 5	1922677	YES	4	0	0	0	4	0	0.0000
Beihai sipunculid worm virus 6	1922678	YES	1	0	0	0	1	0	0.0000
Beihai sobemo-like virus 1	1922680	YES	3	0	0	0	3	0	0.0000
Beihai sobemo-like virus 10	1922681	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 11	1922682	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 12	1922683	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 13	1922684	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 14	1922685	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 15	1922686	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 16	1922687	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 17	1922688	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 18	1922689	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 19	1922690	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 2	1922691	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 20	1922692	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 21	1922693	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 22	1922694	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 23	1922695	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 24	1922696	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 25	1922697	YES	3	0	0	0	3	0	0.0000
Beihai sobemo-like virus 26	1922698	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 27	1922699	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 3	1922700	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 4	1922701	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 5	1922702	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 6	1922703	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 7	1922704	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 8	1922705	YES	2	0	0	0	2	0	0.0000
Beihai sobemo-like virus 9	1922706	YES	2	0	0	0	2	0	0.0000
Beihai sphaeromadae virus 1	1922707	YES	1	0	0	0	1	0	0.0000
Beihai sphaeromadae virus 2	1922708	YES	1	0	0	0	1	0	0.0000
Beihai sphaeromadae virus 3	1922709	YES	2	0	0	0	2	0	0.0000
Beihai sphaeromadae virus 4	1922710	YES	2	0	0	0	2	0	0.0000
Beihai tiger crab virus 1	1922711	YES	5	0	0	0	5	0	0.0000
Beihai tombus-like virus 1	1922712	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 10	1922713	YES	4	0	0	0	4	0	0.0000
Beihai tombus-like virus 11	1922714	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 12	1922715	YES	5	0	0	0	5	0	0.0000
Beihai tombus-like virus 13	1922716	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 14	1922717	YES	1	0	0	0	1	0	0.0000
Beihai tombus-like virus 15	1922718	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 16	1922719	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 17	1922720	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 18	1922721	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 19	1922722	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 2	1922723	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 3	1922724	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 4	1922725	YES	3	0	0	0	3	0	0.0000
Beihai tombus-like virus 5	1922726	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 7	1922728	YES	4	0	0	0	4	0	0.0000
Beihai tombus-like virus 8	1922729	YES	2	0	0	0	2	0	0.0000
Beihai tombus-like virus 9	1922730	YES	3	0	0	0	3	0	0.0000
Beihai toti-like virus 4	1922734	YES	2	0	0	0	2	0	0.0000
Beihai uca arcuata virus 1	1922736	YES	1	0	0	0	1	0	0.0000
Beihai victori-like virus 1	1922737	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 1	1922738	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 11	1922740	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 12	1922741	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 13	1922742	YES	3	0	0	0	3	0	0.0000
Beihai weivirus-like virus 15	1922743	YES	3	0	0	0	3	0	0.0000
Beihai weivirus-like virus 16	1922744	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 17	1922745	YES	3	0	0	0	3	0	0.0000
Beihai weivirus-like virus 18	1922746	YES	1	0	0	0	1	0	0.0000
Beihai weivirus-like virus 2	1922748	YES	3	0	0	0	3	0	0.0000
Beihai weivirus-like virus 20	1922749	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 21	1922750	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 3	1922751	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 4	1922752	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 5	1922753	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 7	1922754	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 8	1922755	YES	2	0	0	0	2	0	0.0000
Beihai weivirus-like virus 9	1922756	YES	2	0	0	0	2	0	0.0000
Beihai zhaovirus-like virus 1	1922757	YES	1	0	0	0	1	0	0.0000
Beihai zhaovirus-like virus 2	1922758	YES	1	0	0	0	1	0	0.0000
Beihai zhaovirus-like virus 3	1922759	YES	1	0	0	0	1	0	0.0000
Beihai zhaovirus-like virus 4	1922760	YES	1	0	0	0	1	0	0.0000
Beihai zhaovirus-like virus 5	1922761	YES	1	0	0	0	1	0	0.0000
Changjiang astro-like virus	1922764	YES	4	0	0	0	4	0	0.0000
Changjiang crawfish virus 1	1922765	YES	2	0	0	0	2	0	0.0000
Changjiang crawfish virus 2	1922766	YES	2	0	0	0	2	0	0.0000
Changjiang crawfish virus 3	1922767	YES	2	0	0	0	2	0	0.0000
Changjiang crawfish virus 4	1922768	YES	1	0	0	0	1	0	0.0000
Changjiang crawfish virus 5	1922769	YES	2	0	0	0	2	0	0.0000
Changjiang crawfish virus 6	1922770	YES	2	0	0	0	2	0	0.0000
Changjiang crawfish virus 7	1922771	YES	3	0	0	0	3	0	0.0000
Changjiang hepe-like virus 1	1922772	YES	5	0	0	0	5	0	0.0000
Changjiang narna-like virus 1	1922776	YES	1	0	0	0	1	0	0.0000
Changjiang narna-like virus 2	1922777	YES	2	0	0	0	2	0	0.0000
Changjiang narna-like virus 3	1922778	YES	2	0	0	0	2	0	0.0000
Changjiang narna-like virus 4	1922779	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 1	1922782	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 10	1922783	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 11	1922784	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 12	1922785	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 13	1922786	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 14	1922787	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 15	1922788	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 16	1922789	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 2	1922791	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 3	1922792	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 4	1922793	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 5	1922794	YES	1	0	0	0	1	0	0.0000
Changjiang picorna-like virus 6	1922795	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 7	1922796	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 8	1922797	YES	2	0	0	0	2	0	0.0000
Changjiang picorna-like virus 9	1922798	YES	2	0	0	0	2	0	0.0000
Changjiang polero-like virus 1	1922799	YES	3	0	0	0	3	0	0.0000
Changjiang sobemo-like virus 1	1922800	YES	3	0	0	0	3	0	0.0000
Changjiang sobemo-like virus 2	1922801	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 1	1922802	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 10	1922803	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 11	1922804	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 12	1922805	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 14	1922807	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 15	1922808	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 16	1922809	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 17	1922810	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 18	1922811	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 19	1922812	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 2	1922813	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 20	1922814	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 21	1922815	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 22	1922816	YES	2	0	0	0	2	0	0.0000
Changjiang tombus-like virus 3	1922817	YES	4	0	0	0	4	0	0.0000
Changjiang tombus-like virus 4	1922818	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 5	1922819	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 6	1922820	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 7	1922821	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 8	1922822	YES	3	0	0	0	3	0	0.0000
Changjiang tombus-like virus 9	1922823	YES	2	0	0	0	2	0	0.0000
Changjiang zhaovirus-like virus 1	1922824	YES	1	0	0	0	1	0	0.0000
Changping earthworm virus 1	1922826	YES	1	0	0	0	1	0	0.0000
Changping earthworm virus 2	1922827	YES	7	0	0	0	7	0	0.0000
Hubei Poty-like virus 1	1922832	YES	1	0	0	0	1	0	0.0000
Hubei Wuhan insect virus 9	1922833	YES	6	0	0	0	6	0	0.0000
Hubei arthropod virus 1	1922835	YES	1	0	0	0	1	0	0.0000
Hubei arthropod virus 3	1922836	YES	1	0	0	0	1	0	0.0000
Hubei astro-like virus	1922837	YES	4	0	0	0	4	0	0.0000
Hubei chuvirus-like virus 1	1922857	YES	3	0	0	0	3	0	0.0000
Hubei chuvirus-like virus 3	1922858	YES	3	0	0	0	3	0	0.0000
Hubei coleoptera virus 1	1922860	YES	1	0	0	0	1	0	0.0000
Hubei coleoptera virus 2	1922861	YES	1	0	0	0	1	0	0.0000
Hubei coleoptera virus 3	1922862	YES	3	0	0	0	3	0	0.0000
Hubei dimarhabdovirus virus 2	1922867	YES	5	0	0	0	5	0	0.0000
Hubei dimarhabdovirus virus 3	1922868	YES	5	0	0	0	5	0	0.0000
Hubei diptera virus 1	1922870	YES	2	0	0	0	2	0	0.0000
Hubei diptera virus 10	1922871	YES	6	0	0	0	6	0	0.0000
Hubei diptera virus 11	1922872	YES	4	0	0	0	4	0	0.0000
Hubei diptera virus 12	1922873	YES	3	0	0	0	3	0	0.0000
Hubei diptera virus 13	1922874	YES	3	0	0	0	3	0	0.0000
Hubei diptera virus 14	1922875	YES	4	0	0	0	4	0	0.0000
Hubei diptera virus 15	1922876	YES	2	0	0	0	2	0	0.0000
Hubei diptera virus 16	1922877	YES	1	0	0	0	1	0	0.0000
Hubei diptera virus 17	1922878	YES	2	0	0	0	2	0	0.0000
Hubei diptera virus 18	1922879	YES	2	0	0	0	2	0	0.0000
Hubei diptera virus 22	1922883	YES	2	0	0	0	2	0	0.0000
Hubei diptera virus 3	1922884	YES	3	0	0	0	3	0	0.0000
Hubei diptera virus 4	1922885	YES	3	0	0	0	3	0	0.0000
Hubei diptera virus 5	1922886	YES	3	0	0	0	3	0	0.0000
Hubei diptera virus 9	1922889	YES	6	0	0	0	6	0	0.0000
Hubei earwig virus 3	1922892	YES	2	0	0	0	2	0	0.0000
Hubei endorna-like virus 1	1922893	YES	1	0	0	0	1	0	0.0000
Hubei hepe-like virus 1	1922894	YES	3	0	0	0	3	0	0.0000
Hubei hepe-like virus 2	1922895	YES	3	0	0	0	3	0	0.0000
Hubei hepe-like virus 3	1922896	YES	3	0	0	0	3	0	0.0000
Hubei insect virus 2	1922898	YES	11	0	0	0	11	0	0.0000
Hubei leech virus 1	1922899	YES	3	0	0	0	3	0	0.0000
Hubei leech virus 2	1922900	YES	2	0	0	0	2	0	0.0000
Hubei leech virus 3	1922901	YES	2	0	0	0	2	0	0.0000
Hubei leech virus 4	1922902	YES	2	0	0	0	2	0	0.0000
Hubei lepidoptera virus 1	1922903	YES	3	0	0	0	3	0	0.0000
Hubei lepidoptera virus 2	1922904	YES	6	0	0	0	6	0	0.0000
Hubei lepidoptera virus 3	1922905	YES	10	0	0	0	10	0	0.0000
Hubei macula-like virus 1	1922922	YES	3	0	0	0	3	0	0.0000
Hubei macula-like virus 2	1922923	YES	2	0	0	0	2	0	0.0000
Hubei mosquito virus 1	1922925	YES	1	0	0	0	1	0	0.0000
Hubei mosquito virus 2	1922926	YES	3	0	0	0	3	0	0.0000
Hubei mosquito virus 3	1922927	YES	2	0	0	0	2	0	0.0000
Hubei mosquito virus 4	1922928	YES	3	0	0	0	3	0	0.0000
Hubei myriapoda virus 1	1922930	YES	1	0	0	0	1	0	0.0000
Hubei myriapoda virus 2	1922931	YES	3	0	0	0	3	0	0.0000
Hubei myriapoda virus 3	1922932	YES	4	0	0	0	4	0	0.0000
Hubei myriapoda virus 4	1922933	YES	2	0	0	0	2	0	0.0000
Hubei myriapoda virus 5	1922934	YES	3	0	0	0	3	0	0.0000
Hubei myriapoda virus 7	1922936	YES	6	0	0	0	6	0	0.0000
Hubei myriapoda virus 8	1922937	YES	4	0	0	0	4	0	0.0000
Hubei myriapoda virus 9	1922938	YES	4	0	0	0	4	0	0.0000
Hubei narna-like virus 11	1922941	YES	2	0	0	0	2	0	0.0000
Hubei narna-like virus 12	1922942	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 13	1922943	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 15	1922945	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 17	1922947	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 18	1922948	YES	2	0	0	0	2	0	0.0000
Hubei narna-like virus 19	1922949	YES	2	0	0	0	2	0	0.0000
Hubei narna-like virus 2	1922950	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 21	1922952	YES	2	0	0	0	2	0	0.0000
Hubei narna-like virus 22	1922953	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 23	1922954	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 24	1922955	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 25	1922956	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 3	1922957	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 4	1922958	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 5	1922959	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 7	1922960	YES	1	0	0	0	1	0	0.0000
Hubei narna-like virus 9	1922962	YES	2	0	0	0	2	0	0.0000
Hubei noda-like virus 17	1922972	YES	1	0	0	0	1	0	0.0000
Hubei noda-like virus 8	1922988	YES	2	0	0	0	2	0	0.0000
Hubei noda-like virus 9	1922989	YES	2	0	0	0	2	0	0.0000
Hubei odonate virus 1	1922990	YES	1	0	0	0	1	0	0.0000
Hubei odonate virus 10	1922991	YES	6	0	0	0	6	0	0.0000
Hubei odonate virus 11	1922992	YES	3	0	0	0	3	0	0.0000
Hubei odonate virus 12	1922993	YES	2	0	0	0	2	0	0.0000
Hubei odonate virus 2	1922997	YES	1	0	0	0	1	0	0.0000
Hubei odonate virus 3	1922998	YES	1	0	0	0	1	0	0.0000
Hubei odonate virus 4	1922999	YES	1	0	0	0	1	0	0.0000
Hubei odonate virus 5	1923000	YES	1	0	0	0	1	0	0.0000
Hubei odonate virus 6	1923001	YES	4	0	0	0	4	0	0.0000
Hubei odonate virus 7	1923002	YES	3	0	0	0	3	0	0.0000
Hubei odonate virus 8	1923003	YES	3	0	0	0	3	0	0.0000
Hubei odonate virus 9	1923004	YES	3	0	0	0	3	0	0.0000
Hubei orthoptera virus 1	1923009	YES	2	0	0	0	2	0	0.0000
Hubei orthoptera virus 3	1923011	YES	2	0	0	0	2	0	0.0000
Hubei orthoptera virus 4	1923012	YES	2	0	0	0	2	0	0.0000
Hubei orthoptera virus 5	1923013	YES	4	0	0	0	4	0	0.0000
Hubei partiti-like virus 11	1923017	YES	2	0	0	0	2	0	0.0000
Hubei permutotetra-like virus 1	1923073	YES	3	0	0	0	3	0	0.0000
Hubei permutotetra-like virus 10	1923074	YES	2	0	0	0	2	0	0.0000
Hubei permutotetra-like virus 11	1923075	YES	2	0	0	0	2	0	0.0000
Hubei permutotetra-like virus 2	1923076	YES	3	0	0	0	3	0	0.0000
Hubei permutotetra-like virus 3	1923077	YES	3	0	0	0	3	0	0.0000
Hubei permutotetra-like virus 4	1923078	YES	3	0	0	0	3	0	0.0000
